,Nom,Age,Nationalité,General,Potentiel,Club,Valeur,Salaire
14631,David Gallardo,25,Argentina,63,66,Club Atlético Sarmiento,€625K,€3K
14632,Louis Khoury,20,Australia,51,63,Central Coast Mariners,€140K,€500
14634,Román Ugarriza,19,Argentina,57,72,Club Atlético Tigre,€400K,€500
14635,Milan Rundić,30,Serbia,66,66,Raków Częstochowa,€700K,€4K
14640,Thomas Christiansen,19,Denmark,54,70,Aalborg BK,€275K,€1K
14641,Lucas Chang-Andersen,20,Denmark,51,62,Vejle Boldklub,€110K,€850
14642,Peng Wang,29,China PR,53,53,Shijiazhuang Ever Bright F.C.,€80K,€1K
14643,Loïc Ritière,18,Belgium,55,69,KV Kortrijk,€275K,€600
14644,Pedro Vinagre Pedrosa Neves,18,Brazil,60,71,FC Cartagena,€525K,€500
14645,Jakub Niewiadomski,18,Poland,56,72,Lech Poznań,€350K,€500
14646,Eryk Kryg,20,Poland,53,64,Lech Poznań,€200K,€1K
14647,Enes Tubluk,20,Germany,59,71,Viktoria Köln,€550K,€700
14648,Valentin Borcea,19,Romania,54,70,FC Dinamo 1948 Bucureşti,€275K,€550
14649,Lautaro Amadé,22,Argentina,61,69,Defensa y Justicia,€650K,€2K
14650,Freddie Price,19,England,55,62,Morecambe,€250K,€900
14651,Cheikh Kane Sarr,21,Senegal,63,75,Granada CF,€1M,€2K
14652,Marko Malenica,26,Croatia,62,67,Lech Poznań,€450K,€1K
14653,Diego Rafael Pereira Batista,21,Portugal,60,71,Futebol Clube de Famalicão,€550K,€1K
14654,Abdul Wahab Ibrahim,22,Ghana,62,70,Futebol Clube de Famalicão,€850K,€1K
14655,Danila Bokov,18,Russia,56,74,PFC CSKA Moscow,€325K,€550
14656,Linus Tagesson,20,Sweden,56,71,Djurgårdens IF,€325K,€950
14657,Victor Méndez Exposito,22,Spain,62,73,CD Tenerife,€775K,€1K
14658,György Székely,26,Hungary,52,57,TSV 1860 München,€90K,€500
14659,Maxim Gresler,18,Germany,56,74,TSV 1860 München,€350K,€500
14660,Ahanna Agbowo,18,Germany,51,66,TSV 1860 München,€140K,€500
14661,Marco Mannhardt,18,Germany,53,70,TSV 1860 München,€230K,€500
14662,Johann Ngounou Djayo,20,Germany,55,68,TSV 1860 München,€300K,€550
14663,Miloš Ćoćić,19,Serbia,54,71,TSV 1860 München,€275K,€500
14664,Matthew Durrans,21,England,52,61,TSV 1860 München,€180K,€500
14665,Nikita Kotin,17,Russia,56,72,PFC CSKA Moscow,€325K,€500
14666,Marciano Aziz,18,Belgium,58,72,KAS Eupen,€475K,€700
14667,Vanderson Silva Teles,22,Brazil,63,72,Real Oviedo,€1.1M,€2K
14668,Fotis Ioannidis,22,Greece,70,77,Panathinaikos FC,€3.3M,€500
14669,Brandon Abundis,20,Mexico,58,69,Club Atlético de San Luis,€450K,€2K
14670,Kyle Munro,18,Scotland,55,73,Hamilton Academical FC,€325K,€500
14671,Cammy Ballantyne,22,Scotland,54,65,St. Johnstone FC,€240K,€1K
14672,David Mindombe,19,Belgium,58,71,Sint-Truidense VV,€450K,€1K
14673,Moussa Sidibé,25,Mali,64,65,SD Ponferradina,€700K,€2K
14674,Vladimir Prijović,19,Serbia,55,67,Aalborg BK,€275K,€1K
14675,Jonathan Bakali,18,France,64,78,AS Monaco,€1.4M,€4K
14676,Adnan Aganović,34,Croatia,63,63,Sepsi OSK Sf. Gheorghe,€220K,€3K
14677,Florian Palmowski,20,Germany,61,72,Hertha BSC,€625K,€3K
14678,Kai Meriluoto,17,Finland,54,71,HJK Helsinki,€275K,€500
14679,Toni Herrero Oliva,20,Spain,64,78,Levante Unión Deportiva,€1.3M,€4K
14680,Yusuf Hussain,19,Scotland,55,65,Motherwell,€250K,€600
14681,Max Johnston,18,Scotland,58,65,Motherwell,€375K,€500
14682,Alejandro Blesa Pina,20,Spain,64,78,Levante Unión Deportiva,€1.4M,€2K
14683,Fabijan Podunavac,17,Germany,54,66,Türkgücü München,€250K,€500
14684,Dušan Lagator,27,Montenegro,64,64,Wisła Płock,€550K,€2K
14685,Giannis Papanikolaou,23,Greece,67,74,Raków Częstochowa,€2M,€4K
14686,Yannick Brugger,20,Germany,60,71,FC Flyeralarm Admira,€500K,€1K
14687,Lukas Fahrnberger,19,Austria,55,68,Eintracht Frankfurt,€300K,€2K
14688,Mateusz Wyjadłowski,21,Poland,57,67,PGE FKS Stal Mielec,€375K,€1K
14689,Josh Scott,19,England,53,66,Mansfield Town,€220K,€2K
14690,Jay Henderson,20,Scotland,61,75,St. Mirren,€800K,€1K
14691,Pedro David Ramírez,20,Argentina,59,71,Defensa y Justicia,€525K,€2K
14692,Jordan Brown,21,England,56,64,Leyton Orient,€300K,€2K
14693,Rodrigo Herrera,19,Argentina,62,74,Defensa y Justicia,€900K,€1K
14694,Axel Torres,18,Mexico,52,69,Club Atlético de San Luis,€180K,€500
14695,Juan de Dios Aguayo,24,Mexico,60,64,Club Universidad Nacional,€325K,€6K
14696,Marcel Canadi,23,Austria,61,65,SV Ried,€475K,€2K
14697,Bradley Burntwood,22,England,50,53,Doncaster Rovers,€50K,€1K
14698,Sam Long,19,Scotland,57,73,Lincoln City,€375K,€550
14699,Peter Dannington,28,England,53,53,Doncaster Rovers,€100K,€2K
14700,Matteo Mazzolini,19,France,51,64,Servette FC,€130K,€1K
14701,Sigitas Olberkis,23,Lithuania,53,58,Sligo Rovers,€130K,€500
14702,Héctor Holguín,20,United States,57,69,Santos Laguna,€350K,€2K
14703,Martín Lagunes,19,Mexico,51,61,Puebla FC,€110K,€500
14704,Oltan Karakullukçu,28,Turkey,63,63,BB Erzurumspor,€500K,€4K
14705,Omar Jaiteh,21,Gambia,61,72,CD Tenerife,€700K,€1K
14706,Mahamadou Ba,22,Mali,60,70,Adana Demirspor,€525K,€3K
14707,Gökhan Kardeş,23,Turkey,60,65,BB Erzurumspor,€325K,€2K
14708,Cem Barlık,20,Turkey,58,68,BB Erzurumspor,€450K,€2K
14709,Batuhan Ünsal,23,Turkey,55,63,BB Erzurumspor,€240K,€1K
14710,Ferdi İmdat,18,Turkey,56,75,MKE Ankaragücü,€375K,€2K
14711,Ender Aygören,20,Turkey,59,68,MKE Ankaragücü,€500K,€3K
14712,Berke Gürbüz,19,Turkey,58,69,Gazişehir Gaziantep F.K.,€450K,€2K
14713,Israel Escalante,21,Argentina,59,67,Boca Juniors,€500K,€2K
14715,Mika Schroers,20,Germany,62,69,Borussia Mönchengladbach,€800K,€4K
14716,Sander Christiansen,21,Norway,63,71,Sarpsborg 08 FF,€1M,€750
14717,Rocco Reitz,20,Germany,64,76,Borussia Mönchengladbach,€1.4M,€5K
14718,Andreas Gülstorff,19,Denmark,54,68,FC Nordsjælland,€220K,€600
14719,Jake Hull,20,England,54,65,Rotherham United,€220K,€2K
14720,Bojan Letić,28,Bosnia and Herzegovina,63,63,CD Mirandés,€425K,€2K
14721,César Ramos,21,Mexico,57,66,CF Monterrey ,€325K,€3K
14722,Ángel Zapata,20,Mexico,60,74,CF Monterrey ,€600K,€5K
14723,Parmanjan Kyum,20,China PR,47,52,Henan Songshan Longmen FC,€70K,€2K
14724,Jiahao Zhu,23,China PR,49,53,Jiangsu FC,€70K,€2K
14725,Lleyton Brooks,21,Australia,56,66,Melbourne Victory,€325K,€1K
14726,Wenzhuo Huang,21,China PR,47,53,Shanghai Port FC,€70K,€1K
14727,Yunqi Guo,25,China PR,48,51,Shijiazhuang Ever Bright F.C.,€60K,€1K
14728,Ziming Liu,24,China PR,51,55,Shijiazhuang Ever Bright F.C.,€80K,€1K
14729,Yue Song,30,China PR,51,51,Tianjin Jinmen Tiger FC,€50K,€1K
14730,Burak Süleyman,25,Turkey,67,67,Göztepe SK,€1.1M,€8K
14731,Óscar Contreras Ferreira,22,Spain,62,71,SD Ponferradina,€900K,€2K
14732,Eneko Lombraña Peral,20,Spain,59,68,CD Mirandés,€475K,€1K
14733,Julen Menchaca Soler,21,Spain,59,68,CD Mirandés,€500K,€1K
14734,Arkaitz Santamaría Eraña,20,Spain,60,71,CD Mirandés,€550K,€1K
14735,Aritz Uriarte Alonso,19,Spain,60,75,CD Mirandés,€600K,€1K
14736,Daniel Ruiz Romera,21,Spain,61,70,CD Mirandés,€750K,€1K
14737,Łukasz Zjawiński,20,Poland,61,74,Widzew Łódź,€800K,€2K
14738,Stefan Milić,20,Montenegro,64,72,Dinamo Zagreb,€1.2M,€500
14739,Mamadou Diatta,19,Senegal,59,69,Pau FC,€450K,€500
14740,Brennan Camp,20,Scotland,52,67,AFC Bournemouth,€180K,€3K
14741,Amani Mbaraka,17,Germany,52,71,Türkgücü München,€200K,€500
14742,Maxime Thiel,18,Belgium,58,72,SV Zulte Waregem,€450K,€650
14743,Kacper Kondracki,17,Poland,54,69,Wisła Płock,€250K,€500
14744,Fryderyk Gerbowski,19,Poland,60,74,PGE FKS Stal Mielec,€550K,€550
14745,Matteo Regillo,18,Switzerland,54,73,Servette FC,€275K,€1K
14746,Juergen Elitim,23,Colombia,63,70,Racing Santander,€975K,€8K
14747,Marco Rente,24,Germany,67,73,Heracles Almelo,€1.5M,€2K
14748,Živko Kostadinović,30,Switzerland,60,60,FC Zürich,€160K,€2K
14749,David Min,23,Netherlands,59,65,RKC Waalwijk,€350K,€1K
14750,Nigel Langras,19,Netherlands,58,65,RKC Waalwijk,€375K,€650
14751,Teun van Grunsven,20,Netherlands,58,64,RKC Waalwijk,€275K,€850
14752,Tim Hall,23,Luxembourg,64,73,Gil Vicente FC,€1.2M,€2K
14753,Maciej Bortniczuk,20,Poland,52,64,Jagiellonia Białystok,€190K,€1K
14754,Hassan Al Slais,21,Saudi Arabia,54,63,Al Fateh,€240K,€4K
14755,Eduardo Torres,21,Mexico,67,75,Club Deportivo Guadalajara,€2.2M,€10K
14756,Chongchong Ma,29,China PR,51,51,Shijiazhuang Ever Bright F.C.,€50K,€1K
14757,Yuncheng Fu,23,China PR,50,55,Guangzhou City,€60K,€1K
14758,Oliver Sørensen,20,Denmark,60,75,FC Midtjylland,€600K,€3K
14760,Gaber Dobrovoljc,27,Slovenia,59,62,Fatih Karagümrük S.K.,€250K,€2K
14761,Valentin Buhăcianu,28,Romania,62,62,AFC Hermannstadt,€400K,€2K
14762,Octavian Ursu,25,Romania,62,63,AFC UTA Arad,€475K,€1K
14763,David Miculescu,21,Romania,67,77,FCSB (Steaua),€2.3M,€5K
14764,Fatih Kuruçuk,23,Turkey,70,75,Atakaş Hatayspor,€2.2M,€7K
14765,Murat Sarıgül,19,Turkey,59,74,Fatih Karagümrük S.K.,€500K,€1K
14766,Sorin Buștea,26,Romania,60,63,AFC UTA Arad,€300K,€2K
14767,Alexandru Oroian,21,Romania,61,72,AFC Hermannstadt,€725K,€1K
14768,Damian Isac,21,Romania,61,71,AFC UTA Arad,€725K,€1K
14769,Denis Hrezdac,20,Romania,52,64,AFC UTA Arad,€180K,€900
14770,Marius Tomozei,30,Romania,62,62,FC Dinamo 1948 Bucureşti,€350K,€1K
14771,Muzaffer Cem Kablan,22,Turkey,55,67,Fatih Karagümrük S.K.,€275K,€2K
14772,Recep Kutun,22,Turkey,60,66,Fatih Karagümrük S.K.,€375K,€2K
14773,Florin Ilie,30,Romania,62,62,Universitatea Cluj,€325K,€1K
14774,Simo Rumbullaku,29,Albania,63,63,AFC Chindia Târgoviște,€425K,€2K
14775,Alassane Ndao,25,Senegal,71,74,Antalyaspor,€2.5M,€16K
14776,Efe Tatlı,19,Turkey,63,72,Fatih Karagümrük S.K.,€1M,€3K
14777,Yasin Çakaloğlu,20,Turkey,62,70,Fatih Karagümrük S.K.,€875K,€2K
14778,Muhammed Egemen Pehlivan,22,Turkey,56,64,Fatih Karagümrük S.K.,€325K,€3K
14779,Mahmut Emir,24,Turkey,60,63,Atakaş Hatayspor,€300K,€2K
14780,Akif Karagülmez,25,Netherlands,59,63,Atakaş Hatayspor,€275K,€2K
14781,Semih Üstün,21,Turkey,56,65,Atakaş Hatayspor,€300K,€2K
14782,Taylan Özgün,20,Turkey,57,67,Atakaş Hatayspor,€375K,€2K
14783,Joseph Akomadi,20,Ghana,61,70,Atakaş Hatayspor,€725K,€2K
14784,Abdoulie Sanyang,23,Gambia,66,74,Grenoble Foot 38,€1.9M,€2K
14785,Bradley Foster,18,England,54,70,Derby County,€240K,€500
14786,Giacomo Manzari,21,Italy,63,76,Frosinone,€1.2M,€5K
14787,Germán Rivero,28,Argentina,60,60,Patronato,€250K,€3K
14788,Jørgen Kili Fjeldskår,19,Norway,54,69,Sandefjord Fotball,€240K,€500
14789,Marc Tsoungui,18,Switzerland,56,69,FC Lausanne-Sport,€325K,€650
14790,Alex Newby,26,England,63,63,Colchester United,€525K,€4K
14791,Haitham Asiri,20,Saudi Arabia,56,70,Al Ahli,€350K,€4K
14792,Jannis Rabold,20,Germany,61,69,Karlsruher SC,€675K,€2K
14793,Jack Newman,20,Scotland,53,70,Dundee United,€220K,€600
14794,Matthias Heiland,18,Germany,54,68,Eintracht Braunschweig,€250K,€850
14795,Oston Urunov,19,Uzbekistan,64,76,Spartak Moskva,€1.4M,€6K
14796,Martin Niøten Palumbo,20,Norway,60,76,Udinese Calcio,€650K,€2K
14797,James Belshaw,31,England,65,65,Bristol Rovers,€375K,€2K
14798,Connor Hall,29,England,64,64,Port Vale,€500K,€2K
14799,Jack Emmett,26,England,57,58,Harrogate Town,€190K,€2K
14800,James Jones,24,Wales,62,64,Barrow,€450K,€2K
14801,Paolo Ríos,20,Mexico,59,75,Club América,€600K,€4K
14802,Santiago Naveda,21,Mexico,66,77,Miedź Legnica,€1.9M,€1K
14803,Josh Jack,20,Scotland,56,64,St. Mirren,€325K,€1K
14804,Lewis Jamieson,18,Scotland,55,73,St. Mirren,€325K,€550
14805,Sergio Carrasco González,22,Spain,62,70,SD Huesca,€900K,€2K
14806,George Thomson,30,England,64,64,Harrogate Town,€575K,€3K
14808,Aaron Martin,29,England,62,62,Harrogate Town,€400K,€3K
14809,David Del Pozo Guillén,23,Spain,62,67,Albacete BP,€600K,€2K
14811,Alonso García,19,Mexico,50,64,Fútbol Club Juárez,€110K,€900
14812,José Zapata,18,Mexico,56,68,Fútbol Club Juárez,€325K,€650
14813,Tomislav Tomić,29,Bosnia and Herzegovina,65,65,FC Flyeralarm Admira,€600K,€3K
14814,Mateusz Czyżycki,23,Poland,63,67,Warta Poznań,€700K,€900
14815,Luqman Hakim,20,Malaysia,57,71,KV Kortrijk,€400K,€2K
14816,Calem Nieuwenhof,21,Australia,57,67,Western Sydney Wanderers,€350K,€1K
14817,Adam Pavlesic,19,Australia,56,71,Sydney FC,€300K,€500
14818,Romario Jesuraj,25,India,56,57,Chennaiyin FC,€170K,€500
14819,Denechandra Meitei,28,India,53,53,Odisha FC,€80K,€500
14820,Zahid Muñoz,20,Mexico,61,70,Club Atlético de San Luis,€725K,€6K
14821,Defu Ma,21,China PR,49,55,Chongqing Liangjiang Athletic,€70K,€1K
14822,Jiaxing Deng,20,China PR,50,57,Chongqing Liangjiang Athletic,€90K,€1K
14823,Mengxuan Zhang,21,China PR,47,52,Chongqing Liangjiang Athletic,€70K,€1K
14824,Jenthe Mertens,20,Belgium,64,73,Waasland-Beveren,€1.2M,€2K
14825,Sebbe Augustijns,22,Belgium,59,65,RKC Waalwijk,€325K,€1K
14826,Morad El Haddouti,23,Netherlands,60,66,RKC Waalwijk,€400K,€1K
14827,Stefan Colakovski,22,North Macedonia,59,68,Perth Glory,€500K,€950
14830,Mediop Ndiaye,29,Senegal,59,59,Campionii FC Arges,€220K,€1K
14831,George Micle,20,Romania,61,70,Campionii FC Arges,€625K,€700
14832,Daniel Șerbănică,26,Romania,61,64,CS Mioveni,€400K,€1K
14833,Grigore Turda,24,Romania,66,71,Campionii FC Arges,€1.2M,€2K
14834,Vlad Motroc,21,Romania,59,68,FC Academica Clinceni,€475K,€700
14835,Dorinel Oancea,25,Romania,63,67,CS Mioveni,€625K,€1K
14836,Andrei Tofan,25,Romania,66,69,Campionii FC Arges,€1M,€2K
14837,Nicolae Mușat,34,Romania,63,63,Campionii FC Arges,€180K,€2K
14838,Vasile Buhăescu,32,Romania,62,62,Campionii FC Arges,€325K,€2K
14839,Andrei Blejdea,24,Romania,62,67,FC Dinamo 1948 Bucureşti,€600K,€1K
14840,Andrei Panait,33,Romania,62,62,CS Mioveni,€200K,€1K
14841,Ionuț Șerban,30,Romania,64,64,Campionii FC Arges,€550K,€2K
14842,Alin Popa,29,Romania,58,58,Campionii FC Arges,€200K,€1K
14843,Ionuț Năstăsie,30,Romania,62,62,AFC Hermannstadt,€375K,€1K
14844,Andrei Mirică,19,Romania,52,60,Campionii FC Arges,€170K,€800
14845,Nini Popescu,26,Romania,60,61,Campionii FC Arges,€300K,€1K
14846,Georgian Honciu,32,Romania,59,59,Campionii FC Arges,€180K,€1K
14847,Wojciech Szumilas,23,Poland,61,66,Wisła Płock,€500K,€1K
14848,Flavius Croitoru,29,Romania,62,62,CS Mioveni,€275K,€950
14849,Valentin Sima,24,Romania,54,60,CS Mioveni,€140K,€600
14850,Bogdan Preda,27,Romania,55,59,CS Mioveni,€130K,€750
14851,Valentin Coșereanu,30,Romania,60,60,CS Mioveni,€240K,€1K
14852,Malcolm Stolt,20,Sweden,56,64,Östersunds FK,€325K,€750
14853,Federico Del Frate,24,Italy,52,56,AC Monza,€90K,€500
14854,Raul Costin,36,Romania,60,60,Rapid București,€50K,€1K
14855,Simon Măzărache,29,Romania,59,59,Petrolul Ploiești,€220K,€2K
14856,Robert Gherghe,24,Romania,61,66,CS Mioveni,€450K,€900
14857,Ionuț Rădescu,27,Romania,61,62,CS Mioveni,€350K,€1K
14858,Ionuț Burnea,29,Romania,60,60,CS Mioveni,€220K,€1K
14859,Davide Massaro,23,Italy,61,68,FC Academica Clinceni,€675K,€1K
14860,Alexandru Ișfan,22,Romania,65,75,Campionii FC Arges,€1.6M,€2K
14861,Nicola Mosti,24,Italy,64,70,Modena,€925K,€950
14862,Luca Lombardi,17,Italy,54,73,AC Monza,€275K,€500
14863,Mateusz Lewandowski,23,Poland,56,65,Wisła Płock,€325K,€1K
14864,Tunmise Sobowale,21,Republic of Ireland,59,67,Waterford FC,€475K,€500
14865,Liam Gordon,23,Guyana,61,68,Walsall,€625K,€2K
14866,Henry Jon Crosthwaite,17,Germany,54,73,SV Darmstadt 98,€275K,€650
14867,Maximilian Großer,18,Germany,50,62,SG Dynamo Dresden,€100K,€500
14868,Jake Davidson,19,Scotland,55,65,Dundee United,€250K,€600
14869,Jacopo Da Riva,21,Italy,63,74,Como,€1.1M,€6K
14870,Erik Lira,21,Mexico,70,80,Cruz Azul,€3.4M,€20K
14871,Marco Brescianini,22,Italy,64,74,Cosenza,€1.2M,€9K
14872,Bas Van Den Eynden,20,Belgium,60,71,KV Mechelen,€500K,€2K
14873,Dylan Dassy,19,Belgium,54,72,KV Mechelen,€275K,€1K
14874,Celestin De Schrevel,20,Belgium,59,70,KAA Gent,€425K,€2K
14875,Arthur Allemeersch,19,Belgium,58,69,Oud-Heverlee Leuven,€450K,€2K
14876,Florin Iacob,28,Romania,67,68,AFC UTA Arad,€800K,€2K
14877,Raul Opric,18,Romania,53,68,AFC UTA Arad,€190K,€500
14878,Dragoș Balauru,32,Romania,61,61,AFC UTA Arad,€160K,€1K
14879,Ciprian Rus,29,Romania,61,61,AFC UTA Arad,€325K,€1K
14880,Dor Hugi,25,Israel,64,65,Wisła Kraków,€700K,€2K
14881,Patryk Janasik,24,Poland,65,69,Śląsk Wrocław,€950K,€2K
14882,Damjan Daničić,20,Serbia,62,71,Dinamo Zagreb,€825K,€500
14883,Tunde Owolabi,26,Belgium,59,60,St. Patrick's Athletic,€275K,€750
14884,Marios Tsaousis,22,Greece,65,73,PAOK,€1.5M,€500
14885,Melker Jonsson,18,Sweden,56,71,Djurgårdens IF,€300K,€500
14887,Mateusz Bartolewski,24,Poland,63,69,Zagłębie Lubin,€700K,€2K
14888,Francesco Rillo,20,Italy,56,71,Benevento,€325K,€2K
14889,Mário Ricardo Silva Velho,21,Portugal,62,71,SC Farense,€775K,€750
14890,Christian Pastina,21,Italy,65,75,Benevento,€1.5M,€950
14891,Daniel Klein,21,Germany,60,73,FC Augsburg,€525K,€2K
14892,Luca Philipp,21,Germany,63,73,TSG Hoffenheim,€925K,€3K
14893,Adrian Lis,30,Poland,63,64,Warta Poznań,€350K,€750
14894,Nikodem Fiedosewicz,23,Poland,55,63,Warta Poznań,€275K,€550
14895,Tomasz Boczek,30,Poland,58,58,Warta Poznań,€170K,€800
14896,Robert Janicki,23,Poland,63,67,Warta Poznań,€700K,€1K
14897,Bartosz Kieliba,31,Poland,63,63,Warta Poznań,€325K,€950
14898,Jakub Kiełb,28,Poland,64,64,Warta Poznań,€525K,€1K
14899,Adrian Laskowski,28,Poland,60,61,Warta Poznań,€240K,€850
14900,Aleks Ławniczak,23,Poland,64,72,Zagłębie Lubin,€1.2M,€2K
14901,Filip Małek,19,Poland,53,67,Warta Poznań,€210K,€500
14902,Ivan Ramírez,30,Argentina,62,62,Club Atlético Central Córdoba,€325K,€2K
14903,Nadeem Omar,18,Sweden,52,68,Falkenbergs FF,€180K,€500
14904,Arkadiusz Leszczyński,20,Poland,55,65,Podbeskidzie Bielsko-Biała,€240K,€500
14905,Dmytro Bashlay,30,Ukraine,59,59,Podbeskidzie Bielsko-Biała,€180K,€900
14906,Michał Batelt,19,Poland,51,64,Podbeskidzie Bielsko-Biała,€130K,€500
14907,Kacper Gach,21,Poland,59,66,Podbeskidzie Bielsko-Biała,€425K,€650
14908,Szymon Mroczko,19,Poland,56,71,Podbeskidzie Bielsko-Biała,€325K,€500
14909,Rafał Figiel,29,Poland,62,62,Podbeskidzie Bielsko-Biała,€350K,€1K
14910,Konrad Sieracki,19,Poland,55,65,Podbeskidzie Bielsko-Biała,€275K,€500
14911,Mateusz Marzec,25,Poland,61,64,Podbeskidzie Bielsko-Biała,€425K,€1K
14912,Filip Laskowski,19,Poland,52,69,Podbeskidzie Bielsko-Biała,€210K,€500
14913,Marko Roginić,24,Croatia,63,66,Podbeskidzie Bielsko-Biała,€675K,€1K
14914,Iván Martín Gómez,25,Spain,56,58,Podbeskidzie Bielsko-Biała,€180K,€1K
14916,Mateusz Dudek,19,Poland,56,70,PGE FKS Stal Mielec,€300K,€500
14917,Kacper Sadłocha,18,Poland,53,68,PGE FKS Stal Mielec,€220K,€500
14918,Robert Dadok,25,Poland,63,66,Górnik Zabrze,€575K,€2K
14919,Adam Kramarz,17,Poland,51,73,PGE FKS Stal Mielec,€180K,€500
14920,Łukasz Seweryn,19,Poland,52,67,PGE FKS Stal Mielec,€180K,€500
14921,Szymon Stasik,21,Poland,62,65,PGE FKS Stal Mielec,€525K,€650
14922,Ivo Mammini,18,Argentina,59,77,Gimnasia y Esgrima La Plata,€575K,€1K
14923,Alexander Burgstaller,20,Austria,58,66,TSV Egger Glas Hartberg,€425K,€1K
14924,Hamidou Maïga,25,Mali,59,63,TSV Egger Glas Hartberg,€275K,€1K
14925,Bartłomiej Mruk,20,Poland,57,70,Pogoń Szczecin,€375K,€1K
14926,Jianwen Wang,33,China PR,48,48,Qingdao FC,€30K,€2K
14927,Cheng Wang,23,China PR,48,52,Qingdao FC,€70K,€2K
14928,Yue Xu,22,China PR,50,58,Shenzhen FC,€100K,€1K
14929,Makan Winkle Chothe,22,India,53,62,FC Goa,€210K,€500
14930,Leander D'Cunha,24,India,52,57,FC Goa,€110K,€500
14931,Kejiang Chen,23,China PR,48,54,Chongqing Liangjiang Athletic,€70K,€1K
14932,Xingyu Hu,19,China PR,47,55,Chongqing Liangjiang Athletic,€100K,€800
14933,Sanson Pereira,24,India,52,57,FC Goa,€110K,€500
14934,Huapeng Wang,22,China PR,51,57,Changchun Yatai FC,€90K,€1K
14935,Yongjun Wen,19,China PR,49,61,Guangzhou City,€110K,€900
14936,Wei Liao,23,China PR,48,54,Hebei FC,€70K,€1K
14937,Alban Ajdini,20,Kosovo,52,62,Servette FC,€170K,€2K
14938,Haochen Zhang,21,China PR,49,55,Qingdao FC,€70K,€1K
14939,Boyan Jia,17,China PR,49,62,Grasshopper Club Zürich,€110K,€500
14940,Nikolas Polster,19,Austria,60,71,LASK Linz,€450K,€1K
14941,Darly N'Landu,19,France,63,74,Royal Excel Mouscron,€1M,€4K
14942,Gijs Smal,24,Netherlands,70,75,FC Twente,€2.2M,€6K
14943,Luis Klatte,21,Germany,58,68,F.C. Hansa Rostock,€400K,€950
14944,Vladimir Van De Wiel,20,Belgium,58,70,Waasland-Beveren,€475K,€1K
14945,Steve Mvoué,20,Cameroon,61,72,Seraing,€725K,€2K
14947,Gökhan Altıparmak,19,Turkey,59,71,Gençlerbirliği SK,€550K,€2K
14948,Fatih Tultak,19,Turkey,57,70,MKE Ankaragücü,€375K,€2K
14949,Amaury García,19,Mexico,60,75,Club Universidad Nacional,€575K,€1K
14950,Emanuel Montejano,19,Mexico,63,71,Club Universidad Nacional,€1M,€2K
14951,Miguel Carreón,17,Mexico,59,71,Club Universidad Nacional,€525K,€500
14952,Juan Pablo Juárez,21,Mexico,58,64,Gallos Blancos de Querétaro,€300K,€1K
14953,Nikola Pejčić,19,Belgium,60,71,Waasland-Beveren,€500K,€900
14954,Ricardo Galindo,23,Mexico,62,69,Club Universidad Nacional,€750K,€2K
14955,Wim Vanmarsenille,18,Belgium,56,70,Sint-Truidense VV,€300K,€500
14956,Oscar Taty Maritu,22,Congo DR,70,77,Shijiazhuang Ever Bright F.C.,€3.3M,€6K
14957,Manuel Molina Rodríguez,22,Spain,63,71,SD Huesca,€1.1M,€2K
14958,Hamad Al Abdan,22,Saudi Arabia,54,65,Al Khaleej,€240K,€5K
14959,Niko Bretschneider,21,Germany,61,68,MSV Duisburg,€625K,€1K
14960,Ondřej Karafiát,25,Czech Republic,70,75,SK Slavia Praha,€2.1M,€500
14961,Michal Beran,19,Czech Republic,69,78,SK Slavia Praha,€3M,€500
14962,Franck Ellé Essouma,20,Cameroon,59,69,Paris FC,€500K,€1K
14963,Ross Marshall,21,England,60,67,Stevenage,€475K,€1K
14964,Hans Anapak,19,Germany,60,73,KFC Uerdingen 05,€575K,€850
14965,Danny Whitehall,24,England,60,63,Kilmarnock,€350K,€1K
14966,Shayr Mohamed,22,Mexico,61,72,Arsenal de Sarandí,€725K,€2K
14967,Fredrik Carson Pedersen,17,Norway,51,71,Strømsgodset IF,€150K,€500
14968,Rasmus Nissen,19,Denmark,53,62,Odense Boldklub,€200K,€1K
14969,Dustin Willms,22,Germany,60,68,FSV Zwickau,€550K,€550
14970,Lucas Brochero,23,Argentina,64,72,Arsenal de Sarandí,€1.3M,€3K
14971,Ibrahim Al Kaabi,28,United Arab Emirates,59,62,,€0,€0
14972,Fahad Hadid,26,United Arab Emirates,63,63,Al Ain FC,€525K,€500
14973,Federico Marigosu,19,Italy,63,77,Cagliari,€1.1M,€4K
14974,Marc Augé,19,Germany,55,67,VfL Osnabrück,€275K,€1K
14975,Hakim Traoré,20,Germany,58,71,VfL Osnabrück,€500K,€850
14976,Marc Castells Ortega,30,Spain,64,64,C.D. Castellón,€500K,€2K
14977,Carles Salvador Vidal,29,Spain,65,65,C.D. Castellón,€700K,€3K
14978,Rubén Díez Adán,27,Spain,69,69,CD Tenerife,€1.5M,€5K
14979,Pablo Roig Burgui,22,Spain,61,70,C.D. Castellón,€725K,€1K
14980,Alfredo Gutiérrez Carrillo,22,Spain,63,72,Levante Unión Deportiva,€1.1M,€2K
14981,Jorge Fernández Lucas,28,Spain,65,65,C.D. Castellón,€725K,€3K
14982,Jorge Veintimilla,20,Spain,61,73,C.D. Castellón,€750K,€1K
